ID,Location,Specific Location,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Lux,Estate,rank,Price
1188,lekki,lekki phase 1 lekki lagos,7,4,3,4,0,0,0,1,7,2500000
1189,lekki,chevron lekki lagos,7,4,3,4,1,1,1,1,7,3500000
1190,lekki,ologolo lekki lagos,7,4,3,4,0,0,0,0,7,2000000
1191,lekki,orchid road lekki phase 2 lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1192,lekki,agungi lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1193,lekki,chevron lekki lagos,11,6,5,6,0,0,0,0,10,4700000
1194,lekki,.. ikota lekki lagos,5,3,2,3,0,0,0,0,7,1200000
1195,lekki,mini serviced estate osapa london lekki lagos,11,6,5,6,0,0,0,1,10,6000000
1196,lekki,prime water estate lekki phase 1 lekki lagos,7,4,3,4,0,0,0,1,7,2500000
1197,lekki,osapa osapa london lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1198,lekki,northern foreshore chevron lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1199,lekki,off freedom way ikate lekki lagos,7,4,3,4,0,0,0,0,7,2000000
1200,lekki,off freedom way lekki phase 1 lekki lagos,9,5,4,5,0,0,0,1,9,3800000
1201,lekki,alternative route chevron lekki lagos,11,6,5,6,0,0,0,0,10,4700000
1202,lekki,off freedom way ikate lekki lagos,5,3,2,3,0,0,0,1,7,2000000
1203,lekki,vintage estate close to shoprite jakande lekki lagos,9,5,4,5,1,0,0,1,9,4000000
1204,lekki,ikota lekki lagos,9,5,4,5,0,0,0,1,9,3500000
1205,lekki,osapa lekki phase 2 lekki lagos,11,6,5,6,0,0,0,0,10,5000000
1206,lekki,chevron lekki lagos,11,6,5,6,0,0,0,0,10,4700000
1207,lekki,agungi lekki lagos,2,1,1,1,0,0,0,1,4,900000
1208,lekki,.. osapa london lekki lagos,7,4,3,4,0,0,0,0,7,2000000
1209,lekki,agungi agungi lekki lagos,5,3,2,3,0,0,0,0,7,1700000
1210,lekki,.. lekki phase 1 lekki lagos,11,6,5,6,1,1,0,1,10,6200000
1211,lekki,lekki phase 1 lekki lagos,7,4,3,4,1,1,1,1,7,4300000
1212,lekki,chevy view chevron lekki lagos,11,6,5,6,0,0,0,0,10,4700000
1213,lekki,chevron chevron lekki lagos,7,4,3,4,0,0,0,0,7,2200000
1214,lekki,lekki phase 1 lekki lagos,9,5,4,5,1,1,1,1,9,5600000
1215,lekki,osapa london lekki lagos,2,1,1,1,0,0,0,0,4,600000
1216,lekki,- lekki phase 1 lekki lagos,7,4,3,4,1,0,0,1,7,3000000
1217,lekki,lekki phase 1 lekki lagos,9,5,4,5,1,0,1,1,9,4800000
1218,lekki," eleganza gardens, vgc lekki lagos",5,3,2,3,0,0,0,0,7,1200000
